Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983795,-,-,-,42.29,-83.74,0,263,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI
2022,1,1,0,0,0,0,0
2022,1,1,0,30,0,0,0
2022,1,1,1,0,0,0,0
2022,1,1,1,30,0,0,0
2022,1,1,2,0,0,0,0
2022,1,1,2,30,0,0,0
2022,1,1,3,0,0,0,0
2022,1,1,3,30,0,0,0
2022,1,1,4,0,0,0,0
2022,1,1,4,30,0,0,0
2022,1,1,5,0,0,0,0
2022,1,1,5,30,0,0,0
2022,1,1,6,0,0,0,0
2022,1,1,6,30,0,0,0
2022,1,1,7,0,0,0,0
2022,1,1,7,30,0,0,0
2022,1,1,8,0,0,0,0
2022,1,1,8,30,0,0,0
2022,1,1,9,0,0,0,0
2022,1,1,9,30,0,0,0
2022,1,1,10,0,0,0,0
2022,1,1,10,30,0,0,0
2022,1,1,11,0,0,0,0
2022,1,1,11,30,0,0,0
2022,1,1,12,0,0,0,0
2022,1,1,12,30,0,0,0
2022,1,1,13,0,0,0,0
2022,1,1,13,30,6,0,6
2022,1,1,14,0,14,0,14
2022,1,1,14,30,11,0,11
2022,1,1,15,0,8,0,8
2022,1,1,15,30,11,0,11
2022,1,1,16,0,8,0,8
2022,1,1,16,30,8,0,8
2022,1,1,17,0,9,0,9
2022,1,1,17,30,11,0,11
2022,1,1,18,0,17,0,17
2022,1,1,18,30,11,0,11
2022,1,1,19,0,13,0,13
2022,1,1,19,30,15,0,15
2022,1,1,20,0,9,0,9
2022,1,1,20,30,7,0,7
2022,1,1,21,0,5,0,5
2022,1,1,21,30,8,0,8
2022,1,1,22,0,3,0,3
2022,1,1,22,30,0,0,0
2022,1,1,23,0,0,0,0
2022,1,1,23,30,0,0,0
2022,1,2,0,0,0,0,0
2022,1,2,0,30,0,0,0
2022,1,2,1,0,0,0,0
2022,1,2,1,30,0,0,0
2022,1,2,2,0,0,0,0
2022,1,2,2,30,0,0,0
2022,1,2,3,0,0,0,0
2022,1,2,3,30,0,0,0
2022,1,2,4,0,0,0,0
2022,1,2,4,30,0,0,0
2022,1,2,5,0,0,0,0
2022,1,2,5,30,0,0,0
2022,1,2,6,0,0,0,0
2022,1,2,6,30,0,0,0
2022,1,2,7,0,0,0,0
2022,1,2,7,30,0,0,0
2022,1,2,8,0,0,0,0
2022,1,2,8,30,0,0,0
2022,1,2,9,0,0,0,0
2022,1,2,9,30,0,0,0
2022,1,2,10,0,0,0,0
2022,1,2,10,30,0,0,0
2022,1,2,11,0,0,0,0
2022,1,2,11,30,0,0,0
2022,1,2,12,0,0,0,0
2022,1,2,12,30,0,0,0
2022,1,2,13,0,1,0,1
2022,1,2,13,30,17,0,17
2022,1,2,14,0,33,0,33
2022,1,2,14,30,27,0,27
2022,1,2,15,0,57,0,57
2022,1,2,15,30,48,0,48
2022,1,2,16,0,90,0,90
2022,1,2,16,30,131,0,131
2022,1,2,17,0,186,1,186
2022,1,2,17,30,242,5,240
2022,1,2,18,0,334,366,181
2022,1,2,18,30,409,787,91
2022,1,2,19,0,406,907,63
2022,1,2,19,30,346,765,84
2022,1,2,20,0,300,801,63
2022,1,2,20,30,240,806,46
2022,1,2,21,0,166,722,39
2022,1,2,21,30,90,583,29
2022,1,2,22,0,24,281,16
2022,1,2,22,30,0,0,0
2022,1,2,23,0,0,0,0
2022,1,2,23,30,0,0,0
2022,1,3,0,0,0,0,0
2022,1,3,0,30,0,0,0
2022,1,3,1,0,0,0,0
2022,1,3,1,30,0,0,0
2022,1,3,2,0,0,0,0
2022,1,3,2,30,0,0,0
2022,1,3,3,0,0,0,0
2022,1,3,3,30,0,0,0
2022,1,3,4,0,0,0,0
2022,1,3,4,30,0,0,0
2022,1,3,5,0,0,0,0
2022,1,3,5,30,0,0,0
2022,1,3,6,0,0,0,0
2022,1,3,6,30,0,0,0
2022,1,3,7,0,0,0,0
2022,1,3,7,30,0,0,0
2022,1,3,8,0,0,0,0
2022,1,3,8,30,0,0,0
2022,1,3,9,0,0,0,0
2022,1,3,9,30,0,0,0
2022,1,3,10,0,0,0,0
2022,1,3,10,30,0,0,0
2022,1,3,11,0,0,0,0
2022,1,3,11,30,0,0,0
2022,1,3,12,0,0,0,0
2022,1,3,12,30,0,0,0
2022,1,3,13,0,3,35,4
2022,1,3,13,30,45,352,24
2022,1,3,14,0,117,601,36
2022,1,3,14,30,192,708,49
2022,1,3,15,0,263,770,60
2022,1,3,15,30,327,820,68
2022,1,3,16,0,380,852,74
2022,1,3,16,30,420,871,80
2022,1,3,17,0,446,880,83
2022,1,3,17,30,459,885,86
2022,1,3,18,0,456,882,86
2022,1,3,18,30,438,870,85
2022,1,3,19,0,403,841,83
2022,1,3,19,30,357,810,78
2022,1,3,20,0,300,765,72
2022,1,3,20,30,233,701,63
2022,1,3,21,0,159,599,52
2022,1,3,21,30,85,448,37
2022,1,3,22,0,22,167,17
2022,1,3,22,30,0,0,0
2022,1,3,23,0,0,0,0
2022,1,3,23,30,0,0,0
2022,1,4,0,0,0,0,0
2022,1,4,0,30,0,0,0
2022,1,4,1,0,0,0,0
2022,1,4,1,30,0,0,0
2022,1,4,2,0,0,0,0
2022,1,4,2,30,0,0,0
2022,1,4,3,0,0,0,0
2022,1,4,3,30,0,0,0
2022,1,4,4,0,0,0,0
2022,1,4,4,30,0,0,0
2022,1,4,5,0,0,0,0
2022,1,4,5,30,0,0,0
2022,1,4,6,0,0,0,0
2022,1,4,6,30,0,0,0
2022,1,4,7,0,0,0,0
2022,1,4,7,30,0,0,0
2022,1,4,8,0,0,0,0
2022,1,4,8,30,0,0,0
2022,1,4,9,0,0,0,0
2022,1,4,9,30,0,0,0
2022,1,4,10,0,0,0,0
2022,1,4,10,30,0,0,0
2022,1,4,11,0,0,0,0
2022,1,4,11,30,0,0,0
2022,1,4,12,0,0,0,0
2022,1,4,12,30,0,0,0
2022,1,4,13,0,2,30,3
2022,1,4,13,30,41,248,26
2022,1,4,14,0,114,567,38
2022,1,4,14,30,188,690,48
2022,1,4,15,0,260,769,57
2022,1,4,15,30,323,820,63
2022,1,4,16,0,375,856,67
2022,1,4,16,30,367,525,161
2022,1,4,17,0,377,415,205
2022,1,4,17,30,398,458,204
2022,1,4,18,0,410,547,180
2022,1,4,18,30,384,506,178
2022,1,4,19,0,337,349,203
2022,1,4,19,30,305,365,178
2022,1,4,20,0,225,119,189
2022,1,4,20,30,192,198,143
2022,1,4,21,0,137,181,104
2022,1,4,21,30,62,12,61
2022,1,4,22,0,16,1,16
2022,1,4,22,30,0,0,0
2022,1,4,23,0,0,0,0
2022,1,4,23,30,0,0,0
2022,1,5,0,0,0,0,0
2022,1,5,0,30,0,0,0
2022,1,5,1,0,0,0,0
2022,1,5,1,30,0,0,0
2022,1,5,2,0,0,0,0
2022,1,5,2,30,0,0,0
2022,1,5,3,0,0,0,0
2022,1,5,3,30,0,0,0
2022,1,5,4,0,0,0,0
2022,1,5,4,30,0,0,0
2022,1,5,5,0,0,0,0
2022,1,5,5,30,0,0,0
2022,1,5,6,0,0,0,0
2022,1,5,6,30,0,0,0
2022,1,5,7,0,0,0,0
2022,1,5,7,30,0,0,0
2022,1,5,8,0,0,0,0
2022,1,5,8,30,0,0,0
2022,1,5,9,0,0,0,0
2022,1,5,9,30,0,0,0
2022,1,5,10,0,0,0,0
2022,1,5,10,30,0,0,0
2022,1,5,11,0,0,0,0
2022,1,5,11,30,0,0,0
2022,1,5,12,0,0,0,0
2022,1,5,12,30,0,0,0
2022,1,5,13,0,1,0,1
2022,1,5,13,30,17,44,14
2022,1,5,14,0,30,1,30
2022,1,5,14,30,63,8,61
2022,1,5,15,0,86,8,84
