-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2024 through 08/31/2024 in LST
Location: Latitude  42.2906   Longitude -83.7088 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 267.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
2024,8,1,0,0.0,0.0,0.0,0.0
2024,8,1,1,0.0,0.0,0.0,0.0
2024,8,1,2,0.0,0.0,0.0,0.0
2024,8,1,3,0.0,0.0,0.0,0.0
2024,8,1,4,9.6,1.44,5.72,5.75
2024,8,1,5,68.77,47.51,86.3,79.55
2024,8,1,6,171.69,96.17,239.4,206.77
2024,8,1,7,250.86,239.88,427.52,375.67
2024,8,1,8,253.07,397.08,601.1,526.1
2024,8,1,9,315.87,397.34,737.47,633.33
2024,8,1,10,417.88,360.39,831.45,740.05
2024,8,1,11,333.01,423.41,837.62,734.42
2024,8,1,12,282.47,480.7,812.8,732.0
2024,8,1,13,322.71,244.92,735.3,551.45
2024,8,1,14,234.07,89.71,615.8,346.65
2024,8,1,15,210.2,16.59,457.92,252.07
2024,8,1,16,131.03,13.05,286.0,153.07
2024,8,1,17,53.55,4.94,126.45,62.05
2024,8,1,18,10.38,0.0,18.4,10.2
2024,8,1,19,0.0,0.0,0.0,0.0
2024,8,1,20,0.0,0.0,0.0,0.0
2024,8,1,21,0.0,0.0,0.0,0.0
2024,8,1,22,0.0,0.0,0.0,0.0
2024,8,1,23,0.0,0.0,0.0,0.0
2024,8,2,0,0.0,0.0,0.0,0.0
2024,8,2,1,0.0,0.0,0.0,0.0
2024,8,2,2,0.0,0.0,0.0,0.0
2024,8,2,3,0.0,0.0,0.0,0.0
2024,8,2,4,5.2,0.0,4.93,3.62
2024,8,2,5,40.87,19.48,75.97,46.85
2024,8,2,6,100.28,87.3,223.5,133.0
2024,8,2,7,131.03,187.1,391.08,231.62
2024,8,2,8,157.96,98.98,557.5,248.48
2024,8,2,9,228.16,156.98,697.38,382.77
2024,8,2,10,309.77,173.0,788.05,497.5
2024,8,2,11,289.78,113.69,826.85,452.88
2024,8,2,12,328.09,99.94,806.9,494.95
2024,8,2,13,243.33,101.28,731.5,381.92
2024,8,2,14,228.94,69.77,608.15,328.35
2024,8,2,15,127.09,2.93,453.45,147.07
2024,8,2,16,90.56,0.94,281.9,105.07
2024,8,2,17,55.9,0.0,123.12,63.75
2024,8,2,18,12.52,1.96,17.17,11.38
2024,8,2,19,0.0,0.0,0.0,0.0
2024,8,2,20,0.0,0.0,0.0,0.0
2024,8,2,21,0.0,0.0,0.0,0.0
2024,8,2,22,0.0,0.0,0.0,0.0
2024,8,2,23,0.0,0.0,0.0,0.0
2024,8,3,0,0.0,0.0,0.0,0.0
2024,8,3,1,0.0,0.0,0.0,0.0
2024,8,3,2,0.0,0.0,0.0,0.0
2024,8,3,3,0.0,0.0,0.0,0.0
2024,8,3,4,7.72,2.51,4.85,4.9
2024,8,3,5,61.81,132.19,87.93,84.88
2024,8,3,6,120.26,329.42,250.98,240.93
2024,8,3,7,153.83,499.0,427.1,423.98
2024,8,3,8,164.26,615.56,598.33,596.42
2024,8,3,9,173.76,704.22,743.83,740.22
2024,8,3,10,199.66,710.61,838.15,832.7
2024,8,3,11,192.32,745.74,889.83,878.2
2024,8,3,12,169.99,762.61,872.28,857.17
2024,8,3,13,199.33,692.06,800.3,776.22
2024,8,3,14,147.8,723.16,679.47,667.67
2024,8,3,15,123.2,668.22,519.33,515.67
2024,8,3,16,101.15,550.88,334.62,331.1
2024,8,3,17,61.05,392.06,155.38,153.62
2024,8,3,18,16.88,62.21,20.88,20.67
2024,8,3,19,0.0,0.0,0.0,0.0
2024,8,3,20,0.0,0.0,0.0,0.0
2024,8,3,21,0.0,0.0,0.0,0.0
2024,8,3,22,0.0,0.0,0.0,0.0
2024,8,3,23,0.0,0.0,0.0,0.0
2024,8,4,0,0.0,0.0,0.0,0.0
2024,8,4,1,0.0,0.0,0.0,0.0
2024,8,4,2,0.0,0.0,0.0,0.0
2024,8,4,3,0.0,0.0,0.0,0.0
2024,8,4,4,7.03,4.89,4.88,4.72
2024,8,4,5,56.39,141.0,91.1,81.35
2024,8,4,6,102.3,299.34,256.0,208.65
2024,8,4,7,166.07,360.7,440.6,352.92
2024,8,4,8,181.72,575.57,611.67,581.38
2024,8,4,9,183.9,674.0,749.42,731.42
2024,8,4,10,238.43,596.27,841.05,736.1
2024,8,4,11,265.36,511.76,860.3,722.4
2024,8,4,12,301.34,434.8,840.4,703.4
2024,8,4,13,275.94,466.51,770.28,672.88
2024,8,4,14,247.62,437.34,651.4,568.9
2024,8,4,15,191.81,304.78,494.65,366.35
2024,8,4,16,98.55,337.04,317.02,225.05
2024,8,4,17,65.43,233.08,142.88,114.47
2024,8,4,18,17.66,27.45,17.92,16.55
2024,8,4,19,0.0,0.0,0.0,0.0
2024,8,4,20,0.0,0.0,0.0,0.0
2024,8,4,21,0.0,0.0,0.0,0.0
2024,8,4,22,0.0,0.0,0.0,0.0
2024,8,4,23,0.0,0.0,0.0,0.0
2024,8,5,0,0.0,0.0,0.0,0.0
2024,8,5,1,0.0,0.0,0.0,0.0
2024,8,5,2,0.0,0.0,0.0,0.0
2024,8,5,3,0.0,0.0,0.0,0.0
2024,8,5,4,3.7,0.0,3.65,2.67
2024,8,5,5,44.4,7.55,63.88,50.17
2024,8,5,6,114.5,21.9,182.48,137.07
2024,8,5,7,199.29,78.63,353.3,263.0
2024,8,5,8,249.59,21.22,526.9,309.23
2024,8,5,9,87.1,15.19,677.75,108.7
2024,8,5,10,209.37,41.92,778.88,286.08
2024,8,5,11,336.6,375.75,824.25,725.95
2024,8,5,12,310.4,446.28,803.45,670.42
2024,8,5,13,303.5,87.73,732.53,461.73
2024,8,5,14,307.85,38.61,611.2,386.95
2024,8,5,15,158.05,112.0,453.45,216.45
2024,8,5,16,95.42,73.11,274.35,126.2
2024,8,5,17,52.77,44.76,117.07,64.22
2024,8,5,18,12.72,5.9,14.57,10.9
2024,8,5,19,0.0,0.0,0.0,0.0
2024,8,5,20,0.0,0.0,0.0,0.0
2024,8,5,21,0.0,0.0,0.0,0.0
2024,8,5,22,0.0,0.0,0.0,0.0
2024,8,5,23,0.0,0.0,0.0,0.0
2024,8,6,0,0.0,0.0,0.0,0.0
2024,8,6,1,0.0,0.0,0.0,0.0
